;;;
Organisme collecteur;Entreprise;;
;;Activité entreprise;Versement
;SOCIETE USINAGE DES PYRENEES ARIEGEOISES;outillage mécanique;2000
CCI MIDI PYRENEES;SOFTEE;édition de logiciels;2000
FAFIEC;SOGETI FRANCE;ingénierie informatique;2000
FAFIEC;SONOVISION;ingénierie logistique;2000
FAFIEC;SOPRA STERIA;produits numériques;2000
AGEFOS PME / AGIRES;SPIE SUD OUEST;installations électriques / réseaux;2000
CCI MIDI PYRENEES;STE ABSORGER;matériels industriels;2000
CCI MIDI PYRENEES;STE AZEMAR - ICHARD . ASSOCIES;comptables;2000
CCI POITOU CHARENTES;STIMUT INFORMATIQUE;conseil et édition de logiciels;2000
FAFIEC;STUDEC;ingénierie documentaire;2000
CCI MIDI PYRENEES;SUD OUEST BUREAUTIQUE;commerce mobilier bureau;2000
CCI MIDI PYRENEES;SYNAPSE DEVELOPPEMENT;développement applications numériques;2000
CCI PAYS DE LA LOIRE;SYNERGIE;agence recrutement;2000
;SYNTEC NUMERIQUE;sciences du numérique;2000
AGEFOS PME / AGIRES;TECHNEAU;traitement des eaux;2000
OPCAIM;THALES CRYOGENIE;fabrication matériels cryogéniques;2000
OPCAIM;THALES SECURITY SERVICES;securité numérique/défense;2000
AGEFOS PME / AGIRES;TPMR TOULOUSE SAS;transport autobus;2000
;UNIFORMATION OCTA;centre de formation continue;2000
CCI MIDI PYRENEES;VITAME SERVICES;services à domicile;2000
CCI MIDI PYRENEES;XI INGENIERIE;prog informatique;2000
CCI POITOU CHARENTES;;?;2000
;;;
;;;
;;;
;;;
